127.0.0.1 - - [16/Mar/2024:11:35:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:51 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:50:49 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 200 12875
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:50:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 200 8068
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:50:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:51:06 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=50000 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:51:11 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=30000 HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:51:17 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 200 12875
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:52:36 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 200 12875
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:52:36 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:52:36 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:53:45 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:54:05 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:54:05 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:54:05 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:01 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:19 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20822
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:21 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20822
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:23 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20822
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:40 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:55:40 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:57:01 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:57:01 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:57:21 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:57:43 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20820
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:57:43 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:00:08 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20843
